Repositorio Institucional CICESE,oai_url,alive,"alive_item ",number_of_items,response_time,checked_url,final_url,probe_used,software,version,Version_Status,disponible en RN,redirect_chain,error_message,"Notas ","Contacto ",Última fecha de actividad
Repositorio Institucional del Centro de Ciencias de la Atmósfera de la UNAM,https://ri.atmosfera.unam.mx:8284/acdm/srv/eng/oaipmh,TRUE,TRUE,126,0.35,https://ri.atmosfera.unam.mx:8284/acdm/srv/eng/oaipmh?verb=Identify,,OAI-PMH,GeoNetwork,Unknown,Unknown,FALSE,302:http://ri.atmosfera.unam.mx:8081/geonetwork/srv/spa/oaipmh → 503:https://ri.atmosfera.unam.mx/cosecha/,No Identify tag (503),,,Vigente
Repositorio Digital Institucional de la Universidad Autónoma de Yucatán,http://redi.uady.mx/oai/openaire,TRUE,TRUE,1600,0.2,http://redi.uady.mx/oai/openaire?verb=Identify,http://redi.uady.mx/oai/openaire?verb=Identify,OAI-PMH,DSpace,5.6,Obsolete,TRUE,,,,,Vigente
Repositorio institucional del IMTA,,FALSE,FALSE,,0.15,,http://repositorio.imta.mx/oai/request,none,DSpace,6.2,Obsolete,TRUE,,No Identify tag (404),,,"Desconocido. Inactiva desde el 12/sep/24
https://web.archive.org/web/20240912010907/http://repositorio.imta.mx/oai/request"
Repositorio Institucional del Instituto de Investigaciones Bibliotecológicas y de la Información de la Universidad Nacional Autónoma de México,https://ru.iibi.unam.mx/oai/request,TRUE,TRUE,3704,,https://ru.iibi.unam.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,"HTTPSConnectionPool(host='ru.iibi.unam.mx', port=443): Max retries exceeded with url: /oai/openaire (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1007)')))",,,Vigente
Repositorio Institucional de la Universidad Autónoma Metropolitana Unidad Iztapalapa,http://bindani.izt.uam.mx/catalog/oai,TRUE,TRUE,12677,0.58,http://bindani.izt.uam.mx/catalog/oai?verb=Identify,https://bindani.izt.uam.mx/catalog/oai?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,301:http://bindani.izt.uam.mx/catalog/oai?verb=Identify → 200:https://bindani.izt.uam.mx/catalog/oai?verb=Identify,,,,Vigente
Repositorio Institucional del Instituto de Investigaciones sobre la Universidad y la Educación,,FALSE,FALSE,,,,,error,Unknown,Unknown,Unknown,TRUE,,"HTTPConnectionPool(host='132.248.192.241', port=8080): Read timed out. (read timeout=15)",,,"Desconocido. Inactiva desde el 12/sep/24
https://web.archive.org/web/20240912040023/http://132.248.192.241:8080/oai/request"
Repositorio Institucional del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,http://www.riimas.unam.mx/oai/request,TRUE,TRUE,42,0.09,http://www.riimas.unam.mx/oai/request?verb=Identify,http://www.riimas.unam.mx/oai/request?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,TRUE,,,,,Vigente
REPOSITORIO INSTITUCIONAL DE CONOCIMIENTO GENÓMICO,http://132.248.34.155:8088/oai/provider,TRUE,TRUE,7432,0.02,http://132.248.34.155:8088/oai/provider?verb=Identify,http://132.248.34.155:8088/oai/provider?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
Repositorio Institucional del Tecnológico de Monterrey,https://repositorio.tec.mx/server/oai/request,TRUE,TRUE,85026,0.29,https://repositorio.tec.mx/server/oai/request?verb=Identify,,OAI-PMH,DSpace,8,Recent,TRUE,,No Identify tag (403),,,Vigente
Repositorio de Recursos Geotérmicos para México,http://rigeotermia.geofisica.unam.mx/oai/request,TRUE,TRUE,6196,0.1,http://rigeotermia.geofisica.unam.mx/oai/request?verb=Identify,http://rigeotermia.geofisica.unam.mx/oai/request?verb=Identify,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,,,,Vigente
Aggregator of Repositorio Nacional,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,TRUE,TRUE,,1.19,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
Repositorio Institucional NINIVE,https://ninive.uaslp.mx/oai/request,TRUE,TRUE,5263,,https://ninive.uaslp.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,6.4,Obsolete,TRUE,,"HTTPConnectionPool(host='ninive.uaslp.mx', port=80): Max retries exceeded with url: /oai/conacyt (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7e70b88d03a0>, 'Connection to ninive.uaslp.mx timed out. (connect timeout=15)'))",,,Vigente
Repositorio universitario de prosa científica y de divulgación de la Facultad de Estudios Superiores Iztacala,https://ru.iztacala.unam.mx/oai-pmh-repository/request,TRUE,TRUE,50,0.14,https://ru.iztacala.unam.mx/oai-pmh-repository/request?verb=Identify,https://ru.iztacala.unam.mx/oai-pmh-repository/request?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
Repositorio Institucional RUTIC,https://repositorio.tic.unam.mx/oai/request,TRUE,TRUE,512,,https://repositorio.tic.unam.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,"HTTPSConnectionPool(host='ru.tic.unam.mx', port=443): Max retries exceeded with url: /oai/conacyt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1007)')))",,,Vigente
REPOSITORIO INSTITUCIONAL SCRIPTA DE LA UNIVERSIDAD PANAMERICANA,https://scripta.up.edu.mx/server/oai/request,TRUE,FALSE,,1.33,https://scripta.up.edu.mx/server/oai/request?verb=Identify,,OAI-PMH,DSpace,7.6.1,Recent,FALSE,,No Identify tag (404),,,Vigente
Repositorio Institucional SISBIUQROO,https://risisbi.uqroo.mx/server/oai/request,TRUE,TRUE,4614,1.15,https://risisbi.uqroo.mx/server/oai/request?verb=Identify,,OAI-PMH,DSpace,9.1,Recent,FALSE,301:http://risisbi.uqroo.mx/oai/conacyt → 404:https://risisbi.uqroo.mx/oai/conacyt,No Identify tag (404),,,Vigente
Repositorio Institucional UnADM,http://www.repositorio.unadmexico.mx:8080/oai/request,TRUE,TRUE,237,,http://www.repositorio.unadmexico.mx:8080/oai/request?verb=Identify,,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,"HTTPConnectionPool(host='www.repositorio.unadmexico.mx', port=8080): Read timed out. (read timeout=15)",,,Vigente
"Repositorio de acceso abierto a la información científica, tecnológica y de innovación del centro de biotecnología genómica del IPN: Doctorado en Ciencias en Biotecnología en Red del IPN",http://rdcb.cbg.ipn.mx/oai/public,TRUE,FALSE,,0.23,http://rdcb.cbg.ipn.mx/oai/public?verb=Identify,http://rdcb.cbg.ipn.mx/oai/public?verb=Identify,OAI-PMH,DSpace,6,Obsolete,FALSE,,,,,Vigente
Repositorio Institucional de la Universidad Michoacana de San Nicolás de Hidalgo,http://bibliotecavirtual.dgb.umich.mx:8083/oai/request,FALSE,FALSE,,0.13,http://bibliotecavirtual.dgb.umich.mx:8083/oai/request?verb=Identify,http://bibliotecavirtual.dgb.umich.mx:8083/oai/request?verb=Identify,OAI-PMH,DSpace,6.2,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional de Acceso Abierto RIAA-BUAP,https://repositorioinstitucional.buap.mx/oai/conacyt,TRUE,TRUE,10309,0.33,https://repositorioinstitucional.buap.mx/oai/conacyt?verb=Identify,https://repositorioinstitucional.buap.mx/server/oai/conacyt?verb=Identify,OAI-PMH,DSpace,7.6,Recent,FALSE,301:https://repositorioinstitucional.buap.mx/oai/conacyt?verb=Identify → 200:https://repositorioinstitucional.buap.mx/server/oai/conacyt?verb=Identify,,,,Vigente
Repositorio Institucional UNISON,,FALSE,FALSE,,,,,error,Unknown,Unknown,Unknown,,,"HTTPConnectionPool(host='www.repositorioinstitucional.uson.mx', port=80): Read timed out. (read timeout=15)",,,"Desconocido. Inactiva desde el 12/sep/24
https://web.archive.org/web/20240912044035/http://www.repositorioinstitucional.uson.mx/oai/conacyt"
Aggregator of Repositorio Nacional,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,TRUE,TRUE,,1.16,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
Repositorio Institucional Universidad Iberoamericana Ciudad de México,https://ri.ibero.mx/oai/request,TRUE,TRUE,5383,,https://ri.ibero.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,6.2,Obsolete,FALSE,,"HTTPSConnectionPool(host='ri.ibero.mx', port=443): Max retries exceeded with url: /oai/conacyt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1007)')))",,,Vigente
Repositorio Institucional de Ciencia Abierta de la Universidad Autónoma de Guerrero,http://ri.uagro.mx/oai/conacyt,TRUE,TRUE,1718,0.12,http://ri.uagro.mx/oai/conacyt,http://ri.uagro.mx/oai/conacyt,OAI-PMH,DSpace,6.3,Obsolete,TRUE,,,,,Vigente
Repositorio Institucional de Literatura del IPN-CIIDIR Unidad Oaxaca,http://literatura.ciidiroaxaca.ipn.mx/oai/request,TRUE,TRUE,625,0.05,http://literatura.ciidiroaxaca.ipn.mx/oai/request?verb=Identify,http://literatura.ciidiroaxaca.ipn.mx/oai/request?verb=Identify,OAI-PMH,DSpace,6.2,Obsolete,FALSE,,,,,Vigente
Repositorio Institucional de Colecciones Científicas del IPN-CIIDIR Unidad Oaxaca,http://colecciones.ciidiroaxaca.ipn.mx/oai/request,TRUE,TRUE,376,0.05,http://colecciones.ciidiroaxaca.ipn.mx/oai/request?verb=Identify,http://colecciones.ciidiroaxaca.ipn.mx/oai/request?verb=Identify,OAI-PMH,DSpace,6.2,Obsolete,FALSE,,,,,Vigente
Repositorio Institucional Zaloamati,https://zaloamati.azc.uam.mx/server/oai/request,TRUE,TRUE,11945,0.56,https://zaloamati.azc.uam.mx/server/oai/request?verb=Identify,,OAI-PMH,DSpace,8,Recent,TRUE,301:http://zaloamati.azc.uam.mx/oai/conacyt → 301:https://zaloamati.azc.uam.mx/oai/conacyt → 500:https://zaloamati.azc.uam.mx/server/oai/conacyt,No Identify tag (500),,,Vigente
Repositorio Institucional UTM,http://repositorio.utm.mx/oai/conacyt,TRUE,TRUE,378,0.15,http://repositorio.utm.mx/oai/conacyt?verb=Identify,http://repositorio.utm.mx/oai/conacyt?verb=Identify,OAI-PMH,DSpace,6.4,Obsolete,FALSE,,,,,Vigente
Repositorio Institucional Históricas-UNAM,https://ru.historicas.unam.mx/oai/conacyt,TRUE,TRUE,3822,0.19,https://ru.historicas.unam.mx/oai/conacyt?verb=Identify,https://ru.historicas.unam.mx/oai/conacyt?verb=Identify,OAI-PMH,DSpace,6.4,Obsolete,FALSE,,,,,Vigente
"Repositorio Institucional de la Facultad de Medicina,UNAM.Departamento de Microbiologia y Parasitologia",http://ru.facmed.unam.mx/oai/openaire,TRUE,TRUE,0,0.12,http://ru.facmed.unam.mx/oai/openaire?verb=Identify,https://ru.facmed.unam.mx/oai/openaire?verb=Identify,OAI-PMH,DSpace,6.4,Obsolete,FALSE,302:http://ru.facmed.unam.mx/oai/openaire?verb=Identify → 200:https://ru.facmed.unam.mx/oai/openaire?verb=Identify,,El repositorio esta habilitado pero no cuenta con ningun item,,Vigente
Repositorio Nacional,https://conahcyt.repositorioinstitucional.mx/oai/request,TRUE,TRUE,16,,https://conahcyt.repositorioinstitucional.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,5.4,Obsolete,FALSE,,"HTTPSConnectionPool(host='conacyt.repositorioinstitucional.mx', port=443): Max retries exceeded with url: /oai/request (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7e70b8845930>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,Vigente
Repositorio UNINMAR del Instituto de Ciencias del Mar y Limnología,https://metadata.icmyl.unam.mx/oai/request,TRUE,FALSE,,,https://metadata.icmyl.unam.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,"HTTPSConnectionPool(host='metadata.icmyl.unam.mx', port=443): Max retries exceeded with url: /oai/request (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1007)')))",,,Vigente
Aggregator of Repositorio Nacional,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,TRUE,TRUE,,1.09,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,FALSE,,,,,Vigente
REPOSITORIO UPIICSA IPN,,FALSE,FALSE,,,,,error,DSpace,5.0.6,Obsolete,,,"HTTPConnectionPool(host='repositorio.upiicsa.ipn.mx', port=80): Max retries exceeded with url: /oai/request (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7e70b88d2320>, 'Connection to repositorio.upiicsa.ipn.mx timed out. (connect timeout=15)'))",,,"Inactiva desde: 30/Jun/2019
https://web.archive.org/web/20190730223618/http://repositorio.upiicsa.ipn.mx/"
REPOSITORIO INSTITUCIONAL DEL TECNOLÓGICO NACIONAL DE MÉXICO,https://rinacional.tecnm.mx/oai/conacyt,TRUE,TRUE,2550,0.38,https://rinacional.tecnm.mx/oai/conacyt?verb=Identify,https://rinacional.tecnm.mx/oai/conacyt?verb=Identify,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,,,,Vigente
RI-UPPue: repositorio institucional de la Universidad Politécnica de Puebla,http://repositorio.uppuebla.edu.mx:8080/oai/request,TRUE,TRUE,361,,http://repositorio.uppuebla.edu.mx:8080/oai/request?verb=Identify,,OAI-PMH,DSpace,6.2,Obsolete,FALSE,,"HTTPConnectionPool(host='187.216.227.29', port=8080): Max retries exceeded with url: /oai/conacyt (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7e70b8846980>: Failed to establish a new connection: [Errno 111] Connection refused'))",,,Vigente
Repositorio de la Facultad de Ciencias UNAM,http://uniciencias.fciencias.unam.mx/oai/request,TRUE,TRUE,0,0.08,http://uniciencias.fciencias.unam.mx/oai/request?verb=Identify,http://uniciencias.fciencias.unam.mx/oai/request?verb=Identify,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,,,,Vigente
Repositorio Institucional UNICACH,https://repositorio.unicach.mx/oai/conacyt,TRUE,TRUE,100,0.22,https://repositorio.unicach.mx/oai/conacyt?verb=Identify,https://repositorio.unicach.mx/oai/conacyt?verb=Identify,OAI-PMH,DSpace,6.3,Obsolete,FALSE,,,,,"Inactiva desde: 30/Jun/2019
https://web.archive.org/web/20190730223618/http://repositorio.upiicsa.ipn.mx/"
Cenotes de Yucatan,https://cenoteando.org/oai/request,TRUE,TRUE,,0.43,https://cenoteando.org/oai/request?verb=Identify,https://cenoteando.org/oai/request?verb=Identify,OAI-PMH,Unknown,Unknown,Unknown,TRUE,,,,,Vigente
Repositorio de Literatura del Servicio Sismológico Nacional,http://rigeofisica.ssn.unam.mx/oai/literatura,TRUE,TRUE,23,0.02,http://rigeofisica.ssn.unam.mx/oai/literatura?verb=Identify,http://rigeofisica.ssn.unam.mx/oai/literatura?verb=Identify,OAI-PMH,DSpace,6.2,Obsolete,FALSE,,,,,Vigente
XPLORA,http://rixplora.upn.mx/oai/request,TRUE,TRUE,44231,,http://rixplora.upn.mx/oai/request?verb=Identify,,OAI-PMH,DSpace,5,Obsolete,FALSE,,"HTTPConnectionPool(host='bgtq.ajusco.upn.mx', port=8080): Max retries exceeded with url: /oai/request (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7e70b88462c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,Vigente
,,,,333831,,,,,,,,,,,,,
